Filename	Container	Extracted	Problem in file
Clicks.wav	16	16	False
8bit_in_pcm_s24le.wav	24	8	True
24bit_in_pcm_s16le.wav	16	16	False
24bit_in_pcm_s32le.wav	32	24	True
24bit_in_pcm_f32le.wav	32	24	True
noisebursts.wav	16	16	False
24bit_in_pcm_u8.wav	8	8	False
offphase.wav	16	16	False
16bit_in_pcm_s24le.wav	24	16	True
8KHz_in_44.1kHz.wav	16	16	False
8bit_in_pcm_s16le.wav	16	8	True
24bit_in_pcm_s24le.wav	24	24	False
Saturation.wav	16	16	False
8bit_in_pcm_f32le.wav	32	8	True
8bit_in_pcm_s32le.wav	32	8	True
16bit_in_pcm_u8.wav	8	8	False
hum.wav	16	16	False
fakemono.wav	16	16	False
8bit_in_pcm_u8.wav	8	8	False
16bit_in_pcm_f32le.wav	32	16	True
16bit_in_pcm_s32le.wav	32	16	True
16bit_in_pcm_s16le.wav	16	16	False
11k_in_44.1k.wav	16	16	False
